"Date","CRSR.Adjusted","KOS.Adjusted","MGNI.Adjusted","DDD.Adjusted","HYLN.Adjusted","RUT.Adjusted","GSPC.Adjusted","risk.free"
2021-06-08,31.8299999237061,3.30999994277954,33.0099983215332,31.1399993896484,13.2299995422363,2343.76000976562,4227.259765625,7.93571754087452e-05
2021-06-09,31.6800003051758,3.27999997138977,33.8699989318848,29.8600006103516,12.460000038147,2327.1298828125,4219.5498046875,0.000119029836320728
2021-06-10,31.3299999237061,3.29999995231628,32.5400009155273,29.2999992370605,12,2311.40991210938,4239.18017578125,0.000119029836320728
2021-06-11,32.3600006103516,3.27999997138977,32.8499984741211,29.8299999237061,12.3199996948242,2335.81005859375,4247.43994140625,0.000119029836320728
2021-06-14,36,3.13000011444092,31.8299999237061,29.3500003814697,12.0299997329712,2326.14990234375,4255.14990234375,0.000119029836320728
2021-06-15,35.8300018310547,3.34999990463257,31.0100002288818,27.8600006103516,11.6899995803833,2320.07006835938,4246.58984375,0.000119029836320728
2021-06-16,33.3600006103516,3.45000004768372,30.9799995422363,28,12.1000003814697,2314.68994140625,4223.7001953125,0.000158698547081393
2021-06-17,33.060001373291,3.17000007629395,31.6299991607666,29.0200004577637,12.3400001525879,2287.4599609375,4221.85986328125,0.000158698547081393
2021-06-18,31.9300003051758,3.08999991416931,29.4899997711182,27.9500007629395,11.8400001525879,2237.75,4166.4501953125,0.000198363308512306
2021-06-21,31.9099998474121,3.6800000667572,30.2099990844727,28.8799991607666,11.4899997711182,2286.09008789062,4224.7900390625,0.000198363308512306
2021-06-22,31.7900009155273,3.70000004768372,31.5200004577637,36.8699989318848,11.4300003051758,2295.94995117188,4246.43994140625,0.000158698547081393
2021-06-23,32.5200004577637,3.82999992370605,32.7400016784668,38.0400009155273,12.0200004577637,2303.46997070312,4241.83984375,0.000198363308512306
2021-06-24,32.4799995422363,3.89000010490417,35.4199981689453,38.1199989318848,12.0500001907349,2333.6201171875,4266.490234375,0.000198363308512306
2021-06-25,33.8699989318848,3.75999999046326,36.5,39.2999992370605,12.4899997711182,2334.39990234375,4280.7001953125,0.000238024121368419
2021-06-28,33.3499984741211,3.5,36.8300018310547,40.060001373291,12.3599996566772,2322.34008789062,4290.60986328125,0.000198363308512306
2021-06-29,33.2599983215332,3.40000009536743,36.9300003051758,38.4000015258789,11.8199996948242,2308.84008789062,4291.7998046875,0.000158698547081393
2021-06-30,33.2900009155273,3.46000003814697,33.8400001525879,39.9700012207031,11.6499996185303,2310.55004882812,4297.5,0.000198363308512306
2021-07-01,32.810001373291,3.60999989509583,34.6800003051758,38.5,11.3999996185303,2329.36010742188,4319.93994140625,0.000198363308512306
2021-07-02,32.0699996948242,3.48000001907349,33.5499992370605,36.1100006103516,10.8299999237061,2305.76000976562,4352.33984375,0.000198363308512306
2021-07-06,32.0299987792969,3.14000010490417,34.4099998474121,36,11.3900003433228,2274.5,4343.5400390625,0.000198363308512306
2021-07-07,31.7399997711182,2.95000004768372,33.2700004577637,34.0499992370605,10.7799997329712,2252.85009765625,4358.1298828125,0.000198363308512306
2021-07-08,31.1599998474121,2.96000003814697,33.5,34.2200012207031,10.6099996566772,2231.67993164062,4320.81982421875,0.000238024121368419
2021-07-09,31.7299995422363,3.05999994277954,33.189998626709,34.4099998474121,10.3900003433228,2280,4369.5498046875,0.000238024121368419
2021-07-12,31.7000007629395,2.96000003814697,31.6100006103516,31.1000003814697,10.4099998474121,2281.82006835938,4384.6298828125,0.000198363308512306
2021-07-13,30.8600006103516,2.79999995231628,31.0400009155273,29.4599990844727,10.0100002288818,2238.86010742188,4369.2099609375,0.000198363308512306
2021-07-14,30.3700008392334,2.63000011444092,29.5900001525879,28.6499996185303,9.51000022888184,2202.36010742188,4374.2998046875,0.000238024121368419
2021-07-15,30.2700004577637,2.49000000953674,29.4300003051758,27.2700004577637,9.8100004196167,2190.2900390625,4360.02978515625,0.000198363308512306
2021-07-16,29.3299999237061,2.30999994277954,28.5300006866455,25.2999992370605,9.32999992370605,2163.23999023438,4327.16015625,0.000198363308512306
2021-07-19,28.6000003814697,2.25999999046326,28.4799995422363,25.8999996185303,9.28999996185303,2130.67993164062,4258.490234375,0.000198363308512306
2021-07-20,29.6599998474121,2.27999997138977,29.9799995422363,26.6399993896484,9.40999984741211,2194.30004882812,4323.06005859375,0.000198363308512306
2021-07-21,30.2099990844727,2.4300000667572,31.6200008392334,27.5799999237061,9.8100004196167,2234.0400390625,4358.68994140625,0.000198363308512306
2021-07-22,29.6200008392334,2.26999998092651,30.8500003814697,25.9899997711182,9.5,2199.47998046875,4367.47998046875,0.000198363308512306
2021-07-23,29.5200004577637,2.24000000953674,32.189998626709,25.8199996948242,9.30000019073486,2209.64990234375,4411.7900390625,0.000198363308512306
2021-07-26,29.75,2.27999997138977,31.3400001525879,24.8199996948242,9.75,2216.919921875,4422.2998046875,0.000198363308512306
2021-07-27,29.1299991607666,2.19000005722046,30.4200000762939,24.9400005340576,9.5,2191.830078125,4401.4599609375,0.000198363308512306
2021-07-28,29.2999992370605,2.32999992370605,32,26.7299995422363,10,2224.9599609375,4400.64013671875,0.000198363308512306
2021-07-29,29.3500003814697,2.36999988555908,31.1599998474121,27.7700004577637,9.67000007629395,2240.03002929688,4419.14990234375,0.000238024121368419
2021-07-30,29.1900005340576,2.30999994277954,30.2999992370605,27.5400009155273,9.69999980926514,2226.25,4395.259765625,0.000238024121368419
2021-08-02,28.9799995422363,2.24000000953674,29.8400001525879,27.5100002288818,9.65999984741211,2215.5,4387.16015625,0.000198363308512306
2021-08-03,27.1299991607666,2.21000003814697,29.5599994659424,26.6000003814697,9.43000030517578,2223.580078125,4423.14990234375,0.000198363308512306
2021-08-04,27.3999996185303,2.04999995231628,29.6299991607666,26.2900009155273,9.52999973297119,2196.32006835938,4402.66015625,0.000198363308512306
2021-08-05,28.3299999237061,2.25,30.7000007629395,28.0699996948242,9.60000038146973,2236.01000976562,4429.10009765625,0.000198363308512306
